,Country,Confirmed,proportion infected,Deaths,GDP,Population Density,2021 Population,Area,Literacy,Employment,Population 65 +,Foreigners
94,Nepal,787828,2654.86,11059,33.66,202,29674920,147181,0.659426116,0.890374803,0.194889469,0.018268764
95,Netherlands,2027475,11806.11,18528,912,410,17173099,41850,0.990000001,0.896187488,0.152886971,0.103977111
96,New Zealand,4136,85.09,27,212,18,4860643,270467,0.990000001,0.928878302,0.042828628,0.236156451
97,Nicaragua,13730,204.85,203,12.62,51,6702385,130373,0.793058398,0.958136599,0.030832548,0.006746857
98,Niger,5967,23.74,201,13.68,20,25130817,1267000,0.159837591,0.984075475,0.032305798,0.089551740
99,Nigeria,203081,96.06,2666,432,229,211400708,923768,0.703496084,0.896187488,0.144802541,0.089551740
100,North Macedonia,188113,9032.35,6511,12.55,81,2082658,25713,0.963815449,0.619280439,0.175463803,0.089551740
101,Norway,184609,3377.63,850,362,17,5465630,323802,0.990000001,0.981641338,0.02585846,0.122757334
102,Oman,303512,5810.65,4093,76.33,17,5223375,309500,0.837988042,0.896187488,0.032958663,0.089551740
103,Pakistan,1232595,547.33,27432,264,255,225199937,881912,0.450434657,0.942063069,0.072645943,0.021
104,Palau,5,27.52,0,0.27,40,18169,459,0.966000001,0.958247574,0.095170708,0.303561561
105,Panama,465147,10615.97,7183,52.94,58,4381579,75417,0.9435836,0.928229519,0.023738216,0.028915773
106,Papua New Guinea,19182,210.35,217,23.59,20,9119010,462840,0.545869603,0.896187488,0.049076173,0.089551740
107,Paraguay,459720,6367.63,16138,35.3,18,7219638,406752,0.922431083,0.944981348,0.083693442,0.033540453
108,Peru,2169427,6503.19,199108,202,26,33359418,1285216,0.946773848,0.943811264,0.047411557,0.006088139
109,Philippines,2417419,2176.93,37228,361,324,111046913,342353,0.982990501,0.896187488,0.185583313,0.051251047
110,Poland,2899888,7672.27,75523,594,121,37797005,312679,0.987400001,0.878652984,0.22148836,0.016835519
111,Portugal,1063991,10464.19,17933,231,110,10167925,92090,0.947797486,0.868180047,0.011565796,0.082541025
112,Qatar,235907,8049.98,604,146,253,2930528,11586,0.964370999,0.995373194,0.189445584,0.568909541
113,Romania,1165886,6095.25,35851,249,80,19127774,238391,0.986384198,0.926737112,0.128588761,0.00748269
114,Russia,7227549,4953.36,197032,1484,9,145912025,17098242,0.967988309,0.91248849,0.031893292,0.078363303
115,Rwanda,96023,723.25,1226,10.33,504,13276513,26338,0.683226431,0.964583745,0.100567522,0.035206538
116,Saint Lucia,10727,5817.25,168,2.122,299,184400,616,0.842741202,0.793623256,0.091457206,0.050363997
117,Saint Vincent and the Grenadines,2964,2663.96,17,0.8247,286,111263,389,0.956300001,0.790987493,0.04894402,0.043189369
118,Samoa,3,1.5,0,0.81,70,200149,2842,0.993967777,0.963236954,0.036869402,0.074
119,Sao Tome and Principe,3192,1429.03,46,0.47,232,223368,964,0.914390627,0.896187488,0.032121853,0.014753355
120,Saudi Arabia,546735,1547.04,8679,700,16,35340683,2149690,0.894674225,0.908545762,0.209597204,0.089551740
121,Serbia,886543,10193.02,7885,52.96,98,8697550,88361,0.980415776,0.775650406,0.118593975,0.114418226
122,Seychelles,21180,21413.84,110,1.12,219,98908,452,0.891312504,0.942201958,0.053455393,0.096728029
123,Sierra Leone,6393,78.53,121,3.87,113,8141343,71740,0.39054587,0.964572243,0.118873187,0.018
124,Singapore,81356,1379.69,68,340,8305,5896686,710,0.958573593,0.957777975,0.165847575,0.227956151
125,Slovakia,404982,7416.27,12589,105,111,5460721,49037,1,0.831529947,0.202305401,0.027738929
126,Slovenia,286267,13771.28,4516,52.88,103,2078724,20273,0.997000001,0.870822466,0.05342774,0.11518687
